       1       1    2225
       2       1    8482
       1       2    7718
       0       3   -6810
       3       1    5600
       2       2   28296
       1       3    4600
       4       1    6680
       3       2   27405
       2       3   26330
       1       4    -750
       5       1    5760
       4       2   29268
       3       3   31994
       2       4   26924
       1       5     900
       6       1    6580
       5       2   28834
       4       3   39244
       3       4   37600
       2       5   24717
       6       2   31408
       5       3   41277
       4       4   56499
       3       5   37737
       2       6   24782
       7       2   30141
       6       3   45341
       5       4   58165
       4       5   56314
       3       6   39037
       8       2   30340
       7       3   45316
       6       4   64977
       5       5   64751
       4       6   60320
       3       7   36400
       8       3   45640
       7       4   65481
       6       5   76205
       5       6   73440
       4       7   59004
       9       3   44400
       8       4   68650
       7       5   79575
       6       6   92162
       5       7   74041
       4       8   58549
       9       4   68549
       8       5   84453
       7       6   97108
       6       7   94105
       5       8   75556
      10       4   69916
       9       5   85422
       8       6  105284
       7       7  104659
       6       8   98732
       5       9   73304
      11       4   68100
      10       5   88185
       9       6  106503
       8       7  115492
       7       8  111955
       6       9   97260
      12       4   68320
      11       5   88144
      10       6  110753
       9       7  117981
       8       8  127619
       7       9  111419
       6      10   97322
      12       5   89522
      11       6  111479
      10       7  123865
       9       8  131762
       8       9  128220
       7      10  112928
      13       5   89100
      12       6  115663
      11       7  126693
      10       8  139807
       9       9  137369
       8      10  132143
       7      11  112487
      14       5   90079
      13       6  116242
      12       7  132016
      11       8  143761
      10       9  147801
       9      10  143780
       8      11  131822
       7      12  110922
      14       6  119180
      13       7  134184
      12       8  151370
      11       9  154403
      10      10  160645
       9      11  145972
       8      12  134468
      15       6  118839
      14       7  138768
      13       8  155175
      12       9  162504
      11      10  167406
      10      11  163076
       9      12  149199
       8      13  133203
      16       6  119680
      15       7  140052
      14       8  162026
      13       9  167735
      12      10  177770
      11      11  174146
      10      12  168578
       9      13  149226
       8      14  134442
      16       7  141772
      15       8  164772
      14       9  175260
      13      10  182971
      12      11  186564
      11      12  181726
      10      13  168700
       9      14  150926
      17       7  140688
      16       8  168384
      15       9  179112
      14      10  191840
      13      11  193524
      12      12  198257
      11      13  183598
      10      14  172003
       9      15  149976
      18       7  139800
      17       8  168075
      16       9  183475
      15      10  196068
      14      11  202535
      13      12  205588
      12      13  200529
      11      14  187005
      10      15  171175
      18       8  167882
      17       9  184548
      16      10  201601
      15      11  208111
      14      12  216681
      13      13  211894
      12      14  206046
      11      15  187148
      10      16  171366
      19       8  166725
      18       9  185949
      17      10  203040
      16      11  214837
      15      12  223124
      14      13  224952
      13      14  219357
      12      15  206906
      11      16  187866
      20       8  165900
      19       9  185724
      18      10  206920
      17      11  218380
      16      12  231627
      15      13  232677
      14      14  236537
      13      15  221420
      12      16  209412
      11      17  186144
      20       9  186731
      19      10  208191
      18      11  222798
      17      12  235300
      16      13  242113
      15      14  245010
      14      15  239286
      13      16  224709
      12      17  207611
      21       9  186180
      20      10  211200
      19      11  225174
      18      12  241662
      17      13  247842
      16      14  255620
      15      15  250605
      14      16  243685
      13      17  224400
      12      18  207960
      22       9  186868
      21      10  211544
      20      11  228935
      19      12  244041
      18      13  254994
      17      14  262207
      16      15  262917
      15      16  256738
      14      17  243979
      13      18  224843
      22      10  213184
      21      11  230624
      20      12  249850
      19      13  259174
      18      14  271410
      17      15  270852
      16      16  271780
      15      17  258312
      14      18  246400
      13      19  223008
      23      10  212520
      22      11  232848
      21      12  252071
      20      13  264713
      19      14  275893
      18      15  280956
      17      16  280422
      16      17  274057
      15      18  261655
      14      19  244728
      24      10  213486
      23      11  233070
      22      12  256224
      21      13  267172
      20      14  283427
      19      15  287247
      18      16  291839
      17      17  285565
      16      18  278720
      15      19  261052
      14      20  245616
      24      11  234325
      23      12  256970
      22      13  272440
      21      14  285905
      20      15  295619
      19      16  298825
      18      17  298210
      17      18  291461
      16      19  278800
      15      20  262255
      25      11  234000
      24      12  259740
      23      13  274608
      22      14  292104
      21      15  299084
      20      16  308714
      19      17  306789
      18      18  306717
      17      19  293129
      16      20  281362
      15      21  260244
      26      11  234765
      25      12  259999
      24      13  278536
      23      14  294261
      22      15  305898
      21      16  313018
      20      17  317100
      19      18  315504
      18      19  308574
      17      20  296155
      16      21  279350
      26      12  262314
      25      13  280478
      24      14  299820
      23      15  309734
      22      16  321054
      21      17  323208
      20      18  327342
      19      19  320646
      18      20  313122
      17      21  295222
      16      22  280402
      27      12  261807
      26      13  283140
      25      14  301899
      24      15  315920
      23      16  325428
      22      17  331282
      21      18  333941
      20      19  333724
      19      20  326409
      18      21  312519
      17      22  296088
      28      12  263240
      27      13  283400
      26      14  306440
      25      15  319240
      24      16  333200
      23      17  337112
      22      18  343810
      21      19  341523
      20      20  342052
      19      21  326947
      18      22  314480
      17      23  294520
      28      13  285032
      27      14  306270
      26      15  324474
      25      16  337426
      24      17  344933
      23      18  349909
      22      19  351619
      21      20  350415
      20      21  343137
      19      22  329394
      18      23  313117
      29      13  285138
      28      14  309624
      27      15  326340
      26      16  344156
      25      17  350616
      24      18  359336
      23      19  359152
      22      20  361895
      21      21  354687
      20      22  346905
      19      23  329154
      18      24  314244
      29      14  309428
      28      15  329552
      27      16  346494
      26      17  357932
      25      18  364994
      24      19  368795
      23      20  369828
      22      21  366825
      21      22  359176
      20      23  347096
      19      24  330412
      30      14  311344
      29      15  331320
      28      16  351736
      27      17  362067
      26      18  373729
      25      19  376081
      24      20  380959
      23      21  376525
      22      22  375475
      21      23  361262
      20      24  349844
      19      25  329164
      30      15  333585
      29      16  354150
      28      17  368271
      27      18  378898
      26      19  384953
      25      20  388374
      24      21  387848
      23      22  385003
      22      23  377096
      21      24  363420
      20      25  348750
      19      26  329310
      31      15  334052
      30      16  358064
      29      17  372692
      28      18  386920
      27      19  391833
      26      20  398769
      25      21  396608
      24      22  398192
      23      23  390360
      22      24  381979
      21      25  364090
      20      26  350198
      31      16  358845
      30      17  376564
      29      18  391176
      28      19  400183
      27      20  406045
      26      21  407255
      25      22  407073
      24      23  403360
      23      24  395134
      22      25  382063
      21      26  365613
      20      27  347518
      32      16  361728
      31      17  378816
      30      18  397056
      29      19  404683
      28      20  415991
      27      21  415490
      26      22  418699
      25      23  413904
      24      24  411466
      23      25  397186
      22      26  385248
      21      27  364656
      20      28  347136
      33      16  360983
      32      17  381906
      31      18  399546
      30      19  410948
      29      20  421137
      28      21  425617
      27      22  426842
      26      23  425457
      25      24  422049
      24      25  413550
      23      26  399742
      22      27  383964
      21      28  364609
      33      17  382950
      32      18  404000
      31      19  414050
      30      20  427490
      29      21  431675
      28      22  437781
      27      23  434793
      26      24  435049
      25      25  426634
      24      26  417700
      23      27  399650
      22      28  385450
      34      17  384846
      33      18  405348
      32      19  418761
      31      20  431853
      30      21  438427
      29      22  444153
      28      23  445845
      27      24  444310
      26      25  440320
      25      26  431519
      24      27  417792
      23      28  401166
      34      18  408616
      33      19  421044
      32      20  436592
      31      21  443612
      30      22  451962
      29      23  453156
      28      24  456349
      27      25  450855
      26      26  447699
      25      27  432484
      24      28  420472
      23      29  399672
      35      18  409107
      34      19  424901
      33      20  440006
      32      21  448963
      31      22  457395
      30      23  461635
      29      24  464288
      28      25  462909
      27      26  458384
      26      27  449302
      25      28  435236
      24      29  418541
      35      19  426384
      34      20  444096
      33      21  453654
      32      22  464233
      31      23  467748
      30      24  474007
      29      25  471848
      28      26  471763
      27      27  462737
      26      28  453157
      25      29  434862
      24      30  418932
      36      19  429330
      35      20  446380
      34      21  457050
      33      22  468380
      32      23  475079
      31      24  480254
      30      25  482074
      29      26  481061
      28      27  476827
      27      28  467352
      26      29  452870
      25      30  435380
      36      20  449792
      35      21  460824
      34      22  473704
      33      23  480088
      32      24  488499
      31      25  489345
      30      26  492258
      29      27  486910
      28      28  483992
      27      29  467880
      26      30  454272
      25      31  432488
      37      20  451554
      36      21  464322
      35      22  476406
      34      23  486267
      33      24  493813
      32      25  497993
      31      26  499904
      30      27  498286
      29      28  494241
      28      29  484686
      27      30  469395
      26      31  451725
      37      21  466900
      36      22  481690
      35      23  490332
      34      24  501178
      33      25  504484
      32      26  509949
      31      27  506859
      30      28  506458
      29      29  497110
      28      30  486962
      27      31  467886
      26      32  451472
      38      21  469817
      37      22  484213
      36      23  495305
      35      24  505335
      34      25  512126
      33      26  516530
      32      27  517313
      31      28  515458
      30      29  509877
      29      30  499996
      28      31  486101
      27      32  468165
      39      21  471840
      38      22  488700
      37      23  498840
      36      24  511980
      35      25  517896
      34      26  525350
      33      27  524805
      32      28  526845
      31      29  519935
      30      30  514996
      29      31  500040
      28      32  487020
      27      33  464880
      39      22  490806
      38      23  503738
      37      24  515755
      36      25  524356
      35      26  530932
      34      27  534125
      33      28  534666
      32      29  531646
      31      30  525225
      30      31  515188
      29      32  501054
      28      33  484584
      40      22  494884
      39      23  506850
      38      24  522040
      37      25  528922
      36      26  538982
      35      27  540727
      34      28  545262
      33      29  540532
      32      30  538123
      31      31  528172
      30      32  517638
      29      33  499596
      41      22  496503
      40      23  511434
      39      24  525231
      38      25  535311
      37      26  543696
      36      27  549209
      35      28  552100
      34      29  551384
      33      30  547236
      32      31  540787
      31      32  530397
      30      33  516474
      41      23  513984
      40      24  530944
      39      25  539648
      38      26  550976
      37      27  555232
      36      28  561758
      35      29  559300
      34      30  559097
      33      31  551146
      32      32  545882
      31      33  530240
      42      23  517920
      41      24  533650
      40      25  545740
      39      26  555165
      38      27  562682
      37      28  567856
      36      29  569211
      35      30  567077
      34      31  563040
      33      32  556017
      32      33  545805
      31      34  530985
      42      24  538758
      41      25  549384
      40      26  561924
      39      27  567666
      38      28  576808
      37      29  576277
      36      30  578136
      35      31  572178
      34      32  569296
      33      33  558360
      32      34  547800
      43      24  541025
      42      25  554626
      41      26  566150
      40      27  574726
      39      28  582615
      38      29  585409
      37      30  585188
      36      31  583405
      35      32  578401
      34      33  571611
      33      34  560656
      32      35  546184
      43      25  557872
      42      26  571608
      41      27  579088
      40      28  590408
      39      29  591729
      38      30  595386
      37      31  591683
      36      32  590794
      35      33  581930
      34      34  576463
      33      35  560116
      44      25  562695
      43      26  574977
      42      27  585810
      41      28  594994
      40      29  599969
      39      30  601868
      38      31  601996
      37      32  598986
      36      33  594194
      35      34  586624
      34      35  576012
      33      36  561177
      44      26  580580
      43      27  589540
      42      28  602210
      41      29  605280
      40      30  611086
      39      31  609650
      38      32  610520
      37      33  603519
      36      34  600439
      35      35  589050
      34      36  578480
      45      26  583691
      44      27  595832
      43      28  606340
      42      29  613087
      41      30  616920
      40      31  618951
      39      32  617936
      38      33  615140
      37      34  609578
      36      35  602719
      35      36  591856
      34      37  576449
      46      26  589104
      45      27  599328
      44      28  613152
      43      29  618230
      42      30  625796
      41      31  625471
      40      32  628686
      39      33  623547
      38      34  622429
      37      35  612770
      36      36  606911
      35      37  590328
      46      27  605097
      45      28  617142
      44      29  625505
      43      30  631143
      42      31  634653
      41      32  635469
      40      33  634345
      39      34  630824
      38      35  625449
      37      36  617593
      36      37  606338
      35      38  591154
      47      27  608428
      46      28  623746
      45      29  630595
      44      30  639515
      43      31  641075
      42      32  645665
      41      33  642320
      40      34  642890
      39      35  635201
      38      36  631445
      37      37  620248
      36      38  608280
      48      27  613725
      47      28  627375
      46      29  636750
      45      30  644348
      44      31  649561
      43      32  652170
      42      33  652564
      41      34  650918
      40      35  647106
      39      36  641508
      38      37  633624
      37      38  622245
      48      28  633156
      47      29  641708
      46      30  652088
      45      31  655464
      44      32  661598
      43      33  659892
      42      34  662072
      41      35  656327
      40      36  654270
      39      37  644953
      38      38  637936
      37      39  621604
      49      28  636328
      48      29  647416
      47      30  656741
      46      31  663231
      45      32  667670
      44      33  669591
      43      34  669491
      42      35  667344
      41      36  663496
      40      37  657369
      39      38  649567
      38      39  637868
      50      28  641940
      49      29  651612
      48      30  663437
      47      31  669017
      46      32  676389
      45      33  676563
      44      34  679989
      43      35  675633
      42      36  675578
      41      37  667552
      40      38  663008
      39      39  651612
      38      40  639990
      50      29  657280
      49      30  667550
      48      31  675892
      47      32  682086
      46      33  685453
      45      34  686952
      44      35  686320
      43      36  683912
      42      37  679491
      41      38  673382
      40      39  665496
      39      40  653725
      51      29  659440
      50      30  674080
      49      31  680584
      48      32  690184
      47      33  692047
      46      34  696866
      45      35  694213
      44      36  695433
      43      37  688931
      42      38  686285
      41      39  676408
      40      40  669920
      51      30  676431
      50      31  687504
      49      32  695045
      48      33  700493
      47      34  703566
      46      35  704369
      45      36  703306
      44      37  700285
      43      38  695575
      42      39  689286
      41      40  680975
      40      41  669141
      52      30  680846
      51      31  690686
      50      32  702437
      49      33  706356
      48      34  712842
      47      35  711962
      46      36  714273
      45      37  709089
      44      38  708127
      43      39  699526
      42      40  694786
      41      41  682732
      53      30  682758
      52      31  695042
      51      32  705749
      50      33  713983
      49      34  718660
      48      35  721546
      47      36  721736
      46      37  720047
      45      38  716986
      44      39  711733
      43      40  705085
      42      41  696785
      41      42  684833
      53      31  697872
      52      32  711228
      51      33  718284
      50      34  727343
      49      35  728408
      48      36  732257
      47      37  728794
      46      38  728905
      45      39  721636
      44      40  718200
      43      41  707784
      42      42  700896
      54      31  701845
      53      32  714085
      52      33  723605
      51      34  731893
      50      35  737290
      49      36  739378
      48      37  739282
      47      38  737435
      46      39  733393
      45      40  727915
      44      41  721132
      43      42  712300
      42      43  700060
      55      31  704254
      54      32  718960
      53      33  727474
      52      34  738074
      51      35  742391
      50      36  749234
      49      37  747933
      48      38  748928
      47      39  742905
      46      40  740641
      45      41  731886
      44      42  725840
      43      43  713714
      55      32  721404
      54      33  732366
      53      34  742188
      52      35  748679
      51      36  754750
      50      37  757856
      49      38  757356
      48      39  754712
      47      40  750259
      46      41  744311
      45      42  737038
      44      43  727668
      43      44  715140
      56      32  725384
      55      33  735768
      54      34  747551
      53      35  753623
      52      36  761804
      51      37  763938
      50      38  768468
      49      39  764064
      48      40  762605
      47      41  754274
      46      42  750117
      45      43  739376
      44      44  731544
      57      32  727041
      56      33  739679
      55      34  750982
      54      35  759535
      53      36  766913
      52      37  771113
      51      38  774827
      50      39  775537
      49      40  771922
      48      41  766922
      47      42  760493
      46      43  752584
      45      44  743417
      44      45  730779
      57      33  742050
      56      34  755730
      55      35  763659
      54      36  773224
      53      37  776833
      52      38  782631
      51      39  782394
      50      40  783892
      49      41  776999
      48      42  773727
      47      43  763983
      46      44  757260
      45      45  744390
      58      33  745563
      57      34  758212
      56      35  768613
      55      36  777631
      54      37  783288
      53      38  788406
      52      39  790323
      51      40  791086
      50      41  789046
      49      42  783836
      48      43  776831
      47      44  768768
      46      45  758394
      45      46  745927
      59      33  747684
      58      34  762588
      57      35  771760
      56      36  783182
      55      37  788387
      54      38  795700
      53      39  796863
      52      40  799721
      51      41  796933
      50      42  796507
      49      43  787855
      48      44  782552
      47      45  770684
      46      46  762036
      59      34  764739
      58      35  776271
      57      36  786482
      56      37  794303
      55      38  800988
      54      39  804344
      53      40  806456
      52      41  805765
      51      42  804577
      50      43  800594
      49      44  793476
      48      45  784641
      47      46  774318
      46      47  760647
      60      34  768920
      59      35  779166
      58      36  791668
      57      37  798310
      56      38  807815
      55      39  810540
      54      40  814677
      53      41  812992
      52      42  814255
      51      43  809217
      50      44  806848
      49      45  796462
      48      46  789036
      47      47  775218
      60      35  783275
      59      36  794675
      58      37  803682
      57      38  812163
      56      39  817470
      55      40  821139
      54      41  821481
      53      42  821624
      52      43  819151
      51      44  815802
      50      45  809913
      49      46  800945
      48      47  790115
      47      48  775960
      61      35  786048
      60      36  799680
      59      37  807120
      58      38  818056
      57      39  822682
      56      40  828995
      55      41  828374
      54      42  830778
      53      43  827023
      52      44  826496
      51      45  819321
      50      46  815088
      49      47  802656
      48      48  793440
      62      35  790162
      61      36  802675
      60      37  812327
      59      38  821977
      58      39  828664
      57      40  834571
      56      41  836447
      55      42  837600
      54      43  836497
      53      44  834606
      52      45  830301
      51      46  824694
      50      47  816934
      49      48  805973
      48      49  791617
      62      36  807618
      61      37  816262
      60      38  827906
      59      39  832945
      58      40  840982
      57      41  842441
      56      42  846242
      55      43  843776
      54      44  844790
      53      45  838958
      52      46  836301
      51      47  827277
      50      48  821064
      49      49  806540
      63      36  810414
      62      37  820997
      61      38  831521
      60      39  838750
      59      40  845535
      58      41  849311
      57      42  852168
      56      43  852743
      55      44  852254
      54      45  849429
      53      46  845260
      52      47  839045
      51      48  831402
      50      49  821997
      49      50  807147
      64      36  815200
      63      37  824900
      62      38  837620
      61      39  843910
      60      40  852440
      59      41  854995
      58      42  860457
      57      43  859507
      56      44  861927
      55      45  857510
      54      46  856370
      53      47  848510
      52      48  843830
      51      49  832970
      50      50  824800
      64      37  829856
      63      38  840886
      62      39  849602
      61      40  857369
      60      41  862069
      59      42  865856
      58      43  867898
      57      44  868729
      56      45  867405
      55      46  864643
      54      47  859662
      53      48  853400
      52      49  845471
      51      50  835674
      65      37  832626
      64      38  846620
      63      39  854658
      62      40  863726
      61      41  867541
      60      42  873974
      59      43  874199
      58      44  877949
      57      45  874844
      56      46  875212
      55      47  868769
      54      48  865400
      53      49  855647
      52      50  849089
      65      38  849132
      64      39  859741
      63      40  868424
      62      41  874583
      61      42  879332
      60      43  882302
      59      44  884181
      58      45  884162
      57      46  882837
      56      47  879367
      55      48  874442
      54      49  867610
      53      50  859226
      52      51  847587
      66      38  854048
      65      39  863824
      64      40  874432
      63      41  879570
      62      42  886891
      61      43  888264
      60      44  893082
      59      45  891161
      58      46  892819
      57      47  887759
      56      48  885839
      55      49  877188
      54      50  871894
      53      51  858728
      67      38  856380
      66      39  868350
      65      40  878535
      64      41  886263
      63      42  891965
      62      43  896133
      61      44  898993
      60      45  900128
      59      46  899913
      58      47  897786
      57      48  894266
      56      49  888634
      55      50  881633
      54      51  871406
      53      52  859320
      67      39  871850
      66      40  883934
      65      41  890612
      64      42  898956
      63      43  901694
      62      44  907459
      61      45  906716
      60      46  909474
      59      47  905727
      58      48  905139
      57      49  897831
      56      50  893866
      55      51  882026
      54      52  873090
      68      39  875795
      67      40  887565
      66      41  896446
      65      42  903711
      64      43  909093
      63      44  913127
      62      45  915289
      61      46  916011
      60      47  915262
      59      48  913063
      58      49  908856
      57      50  903091
      56      51  894413
      55      52  883499
      69      39  878904
      68      40  892620
      67      41  900288
      66      42  910116
      65      43  914015
      64      44  920948
      63      45  921521
      62      46  925238
      61      47  922534
      60      48  923402
      59      49  917483
      58      50  914626
      57      51  904284
      56      52  896746
      55      53  882900
      69      40  895762
      68      41  905790
      67      42  914183
      66      43  920669
      65      44  926206
      64      45  929578
      63      46  931392
      62      47  931726
      61      48  930729
      60      49  927927
      59      50  923295
      58      51  916133
      57      52  906706
      56      53  895926
      70      40  900460
      69      41  909370
      68      42  920480
      67      43  925166
      66      44  933405
      65      45  935418
      64      46  940206
      63      47  938535
      62      48  940645
      61      49  935985
      60      50  934571
      59      51  925540
      58      52  919435
      57      53  906730
      56      54  897501
      70      41  914418
      69      42  924186
      68      43  931490
      67      44  938161
      66      45  943068
      65      46  945932
      64      47  947367
      63      48  947621
      62      49  945976
      61      50  942744
      60      51  936904
      59      52  928715
      58      53  919413
      57      54  908091
      71      41  917728
      70      42  929936
      69      43  936342
      68      44  945045
      67      45  948528
      66      46  954336
      65      47  953841
      64      48  957015
      63      49  953649
      62      50  953531
      61      51  945689
      60      52  940610
      59      53  929600
      58      54  921704
      57      55  907200
      72      41  922193
      71      42  933380
      70      43  942194
      69      44  949833
      68      45  955539
      67      46  959766
      66      47  962322
      65      48  963556
      64      49  963093
      63      50  961274
      62      51  956579
      61      52  949724
      60      53  941719
      59      54  931900
      58      55  920735
      72      42  938562
      71      43  946200
      70      44  956232
      69      45  960553
      68      46  967639
      67      47  968309
      66      48  972598
      65      49  970367
      64      50  971574
      63      51  964746
      62      52  961337
      61      53  951444
      60      54  944969
      59      55  931608
      58      56  922260
      73      42  941620
      72      43  951625
      71      44  960204
      70      45  967208
      69      46  972613
      68      47  976419
      67      48  978739
      66      49  979403
      65      50  979120
      64      51  975305
      63      52  969582
      62      53  963074
      61      54  954612
      60      55  944840
      59      56  933455
      73      43  955376
      72      44  966280
      71      45  971802
      70      46  980246
      69      47  982068
      68      48  987440
      67      49  986188
      66      50  988684
      65      51  983194
      64      52  980860
      63      53  972300
      62      54  967072
      61      55  955260
      60      56  947024
      74      43  960570
      73      44  969930
      72      45  978120
      71      46  984883
      70      47  989843
      69      48  993217
      68      49  994954
      67      50  995627
      66      51  993089
      65      52  988759
      64      53  983315
      63      54  976283
      62      55  967754
      61      56  957762
      60      57  946296
      75      43  963942
      74      44  975860
      73      45  982350
      72      46  991896
      71      47  995212
      70      48 1001571
      69      49 1001310
      68      50 1004954
      67      51 1000515
      66      52  999454
      65      53  991922
      64      54  988248
      63      55  977795
      62      56  971022
      61      57  957452
      75      44  979251
      74      45  988533
      73      46  996149
      72      47 1002278
      71      48 1006847
      70      49 1009857
      69      50 1011438
      68      51 1010065
      67      52 1006989
      66      53 1002788
      65      54  997034
      64      55  989762
      63      56  981262
      62      57  970802
      61      58  959140
      76      44  985080
      75      45  992640
      74      46 1002720
      73      47 1007436
      72      48 1014979
      71      49 1015956
      70      50 1020546
      69      51 1017083
      68      52 1017281
      67      53 1010884
      66      54 1008484
      65      55  999418
      64      56  993636
      63      57  981600
      62      58  972840
      76      45  998492
      75      46 1006841
      74      47 1014525
      73      48 1020139
      72      49 1024136
      71      50 1026716
      70      51 1026325
      69      52 1024499
      68      53 1021452
      67      54 1016855
      66      55 1010701
      65      56 1003562
      64      57  994378
      63      58  983972
      62      59  971993
      77      45 1002352
      76      46 1013454
      75      47 1019188
      74      48 1027874
      73      49 1029948
      72      50 1035529
      71      51 1033131
      70      52 1034333
      69      53 1029316
      68      54 1027809
      67      55 1019811
      66      56 1015499
      65      57 1004670
      64      58  997106
      63      59  983442
      77      46 1017456
      76      47 1025943
      75      48 1032536
      74      49 1037863
      73      50 1041475
      72      51 1042096
      71      52 1041262
      70      53 1039250
      69      54 1035774
      68      55 1030787
      67      56 1024616
      66      57 1016841
      65      58 1007616
      64      59  996915
      78      46 1023620
      77      47 1030564
      76      48 1040000
      75      49 1043386
      74      50 1049963
      73      51 1048564
      72      52 1050686
      71      53 1046744
      70      54 1046257
      69      55 1039545
      68      56 1036122
      67      57 1026509
      66      58 1020272
      65      59 1007872
      64      60  998448
      78      47 1037000
      77      48 1044725
      76      49 1051060
      75      50 1055696
      74      51 1057271
      73      52 1057255
      72      53 1056287
      71      54 1053860
      70      55 1049974
      69      56 1044771
      68      57 1038080
      67      58 1030250
      66      59 1020625
      65      60 1009625
      79      47 1041264
      78      48 1051760
      77      49 1056460
      76      50 1063889
      75      51 1063484
      74      52 1066368
      73      53 1063432
      72      54 1063907
      71      55 1058302
      70      56 1055845
      69      57 1047362
      68      58 1042431
      67      59 1031058
      66      60 1022994
      65      61 1008882
      80      47 1047242
      79      48 1056018
      78      49 1063701
      77      50 1069439
      76      51 1071857
      75      52 1072656
      74      53 1072576
      73      54 1071132
      72      55 1068268
      71      56 1064062
      70      57 1058360
      69      58 1051662
      68      59 1043305
      67      60 1033526
      66      61 1022350
      81      47 1051136
      80      48 1062861
      79      49 1069158
      78      50 1077345
      77      51 1077838
      76      52 1081439
      75      53 1079402
      74      54 1080742
      73      55 1076031
      72      56 1074719
      71      57 1067162
      70      58 1063287
      69      59 1053300
      68      60 1046400
      67      61 1033472
      66      62 1023616
      82      47 1056897
      81      48 1066830
      80      49 1075808
      79      50 1082676
      78      51 1085928
      77      52 1087521
      76      53 1088239
      75      54 1087651
      74      55 1085672
      73      56 1082453
      72      57 1077932
      71      58 1072111
      70      59 1064815
      69      60 1056510
      68      61 1046448
      67      62 1034967
      83      47 1058720
      82      48 1073293
      81      49 1080820
      80      50 1090293
      79      51 1091663
      78      52 1095941
      77      53 1094739
      76      54 1096906
      75      55 1093143
      74      56 1092721
      73      57 1086306
      72      58 1083319
      71      59 1074294
      70      60 1068926
      69      61 1057030
      68      62 1048320
      67      63 1033890
      83      48 1075117
      82      49 1087144
      81      50 1095540
      80      51 1099431
      79      52 1101870
      78      53 1103322
      77      54 1103511
      76      55 1102373
      75      56 1100215
      74      57 1096518
      73      58 1091682
      72      59 1085466
      71      60 1078171
      70      61 1069353
      69      62 1059004
      68      63 1047345
      84      48 1078572
      83      49 1089502
      82      50 1102851
      81      51 1105187
      80      52 1109914
      79      53 1109649
      78      54 1112448
      77      55 1109541
      76      56 1110037
      75      57 1104560
      74      58 1102512
      73      59 1094465
      72      60 1089899
      71      61 1079364
      70      62 1072104
      69      63 1058640
      84      49 1093127
      83      50 1105320
      82      51 1112528
      81      52 1115748
      80      53 1117908
      79      54 1118882
      78      55 1118527
      77      56 1117227
      76      57 1114386
      75      58 1110533
      74      59 1105265
      73      60 1098873
      72      61 1091172
      71      62 1082088
      70      63 1071448
      85      49 1095182
      84      50 1109239
      83      51 1115818
      82      52 1123435
      81      53 1124165
      80      54 1127434
      79      55 1125419
      78      56 1126695
      77      57 1122182
      76      58 1121016
      75      59 1113913
      74      60 1110262
      73      61 1100569
      72      62 1094512
      71      63 1082050
      70      64 1073072
      86      49 1098495
      85      50 1111320
      84      51 1119434
      83      52 1126778
      82      53 1131953
      81      54 1133798
      80      55 1134181
      79      56 1133667
      78      57 1131685
      77      58 1128877
      76      59 1124406
      75      60 1118900
      74      61 1111887
      73      62 1103976
      72      63 1094580
      71      64 1083780
      86      50 1115064
      85      51 1122680
      84      52 1131438
      83      53 1135736
      82      54 1141878
      81      55 1141009
      80      56 1142775
      79      57 1139136
      78      58 1138792
      77      59 1132868
      76      60 1129957
      75      61 1121170
      74      62 1116005
      73      63 1104728
      72      64 1096704
      71      65 1082832
      87      50 1116961
      86      51 1126140
      85      52 1134648
      84      53 1140809
      83      54 1145904
      82      55 1149287
      81      56 1149680
      80      57 1148278
      79      58 1146274
      78      59 1142790
      77      60 1138410
      76      61 1132120
      75      62 1125291
      74      63 1116550
      73      64 1106960
      72      65 1095863
      87      51 1129116
      86      52 1139052
      85      53 1144710
      84      54 1151748
      83      55 1153701
      82      56 1158292
      81      57 1155773
      80      58 1156034
      79      59 1150815
      78      60 1148919
      77      61 1141059
      76      62 1136834
      75      63 1126304
      74      64 1119594
      73      65 1106622
      72      66 1097100
      88      51 1132294
      87      52 1142024
      86      53 1149287
      85      54 1155310
      84      55 1159585
      83      56 1163015
      82      57 1164551
      81      58 1163490
      80      59 1160578
      79      60 1156964
      78      61 1151686
      77      62 1145788
      76      63 1138024
      75      64 1129375
      74      65 1119228
      73      66 1107969
      88      52 1146320
      87      53 1152760
      86      54 1160726
      85      55 1164006
      84      56 1169444
      83      57 1169712
      82      58 1172692
      81      59 1168521
      80      60 1167295
      79      61 1160468
      78      62 1156935
      77      63 1147678
      76      64 1141696
      75      65 1129660
      74      66 1121120
      73      67 1106840
      89      52 1148868
      88      53 1157046
      87      54 1164138
      86      55 1169503
      85      56 1173970
      84      57 1176400
      83      58 1178120
      82      59 1177918
      81      60 1175313
      80      61 1170856
      79      62 1165489
      78      63 1158694
      77      64 1151210
      76      65 1141748
      75      66 1131807
      74      67 1119963
      90      52 1152898
      89      53 1160424
      88      54 1169356
      87      55 1173613
      86      56 1180139
